Survived,Pclass,Sex,SibSp,Parch,Fare,Embarked,age
0,3,1,1,0,7.25,2,22.0
1,1,0,1,0,65.6344,0,38.0
1,3,0,0,0,7.925,2,26.0
1,1,0,1,0,53.1,2,35.0
0,3,1,0,0,8.05,2,35.0
0,3,1,0,0,8.4583,1,29.69911764705882
0,1,1,0,0,51.8625,2,54.0
0,3,1,3,1,21.075,2,2.5
1,3,0,0,2,11.1333,2,27.0
1,2,0,1,0,30.0708,0,14.0
1,3,0,1,1,16.7,2,4.0
1,1,0,0,0,26.55,2,54.5
0,3,1,0,0,8.05,2,20.0
0,3,1,1,5,31.275,2,39.0
0,3,0,0,0,7.8542,2,14.0
1,2,0,0,0,16.0,2,54.5
0,3,1,4,1,29.125,1,2.5
1,2,1,0,0,13.0,2,29.69911764705882
0,3,0,1,0,18.0,2,31.0
1,3,0,0,0,7.225,0,29.69911764705882
0,2,1,0,0,26.0,2,35.0
1,2,1,0,0,13.0,2,34.0
1,3,0,0,0,8.0292,1,15.0
1,1,1,0,0,35.5,2,28.0
0,3,0,3,1,21.075,2,8.0
1,3,0,1,5,31.3875,2,38.0
0,3,1,0,0,7.225,0,29.69911764705882
0,1,1,3,2,65.6344,2,19.0
1,3,0,0,0,7.8792,1,29.69911764705882
0,3,1,0,0,7.8958,2,29.69911764705882
0,1,1,0,0,27.7208,0,40.0
1,1,0,1,0,65.6344,0,29.69911764705882
1,3,0,0,0,7.75,1,29.69911764705882
0,2,1,0,0,10.5,2,54.5
0,1,1,1,0,65.6344,0,28.0
0,1,1,1,0,52.0,2,42.0
1,3,1,0,0,7.2292,0,29.69911764705882
0,3,1,0,0,8.05,2,21.0
0,3,0,2,0,18.0,2,18.0
1,3,0,1,0,11.2417,0,14.0
0,3,0,1,0,9.475,2,40.0
0,2,0,1,0,21.0,2,27.0
0,3,1,0,0,7.8958,0,29.69911764705882
1,2,0,1,2,41.5792,0,3.0
1,3,0,0,0,7.8792,1,19.0
0,3,1,0,0,8.05,2,29.69911764705882
0,3,1,1,0,15.5,1,29.69911764705882
1,3,0,0,0,7.75,1,29.69911764705882
0,3,1,2,0,21.6792,0,29.69911764705882
0,3,0,1,0,17.8,2,18.0
0,3,1,4,1,39.6875,2,7.0
0,3,1,0,0,7.8,2,21.0
1,1,0,1,0,65.6344,0,49.0
1,2,0,1,0,26.0,2,29.0
0,1,1,0,1,61.9792,0,54.5
1,1,1,0,0,35.5,2,29.69911764705882
1,2,0,0,0,10.5,2,21.0
0,3,1,0,0,7.2292,0,28.5
1,2,0,1,2,27.75,2,5.0
0,3,1,5,2,46.9,2,11.0
0,3,1,0,0,7.2292,0,22.0
1,1,0,0,0,65.6344,3,38.0
0,1,1,1,0,65.6344,2,45.0
0,3,1,3,2,27.9,2,4.0
0,1,1,0,0,27.7208,0,29.69911764705882
1,3,1,1,1,15.2458,0,29.69911764705882
1,2,0,0,0,10.5,2,29.0
0,3,1,0,0,8.1583,2,19.0
1,3,0,4,2,7.925,2,17.0
0,3,1,2,0,8.6625,2,26.0
0,2,1,0,0,10.5,2,32.0
0,3,0,5,2,46.9,2,16.0
0,2,1,0,0,65.6344,2,21.0
0,3,1,1,0,14.4542,0,26.0
1,3,1,0,0,56.4958,2,32.0
0,3,1,0,0,7.65,2,25.0
0,3,1,0,0,7.8958,2,29.69911764705882
0,3,1,0,0,8.05,2,29.69911764705882
1,2,1,0,2,29.0,2,2.5
1,3,0,0,0,12.475,2,30.0
0,3,1,0,0,9.0,2,22.0
1,3,1,0,0,9.5,2,29.0
1,3,0,0,0,7.7875,1,29.69911764705882
0,1,1,0,0,47.1,2,28.0
1,2,0,0,0,10.5,2,17.0
1,3,0,3,0,15.85,2,33.0
0,3,1,1,3,34.375,2,16.0
0,3,1,0,0,8.05,2,29.69911764705882
1,1,0,3,2,65.6344,2,23.0
