Age,Sex,Job,Housing,Saving accounts,Checking account,Duration,Purpose,Credit
67,1,2,1,4,0,6,5,0
22,0,2,1,0,1,48,5,1
49,1,1,1,0,3,12,3,0
45,1,2,0,0,0,42,4,1
53,1,2,0,0,0,24,1,1
35,1,1,0,4,3,36,3,1
53,1,2,1,2,3,24,4,1
35,1,3,2,0,1,36,1,1
61,1,1,1,3,3,12,5,1
28,1,3,1,0,1,30,1,1
25,0,2,2,0,1,12,1,0
24,0,2,2,0,0,48,0,1
22,0,2,1,0,1,12,5,0
60,1,1,1,0,0,24,1,0
28,0,2,2,0,0,15,1,0
32,0,1,1,1,0,24,5,0
53,1,2,1,4,3,24,5,1
25,1,2,1,4,0,30,0,1
44,0,3,0,0,1,24,1,1
31,1,2,1,2,3,24,5,1
48,1,2,1,0,3,9,1,0
44,1,2,2,2,0,6,5,1
48,1,1,2,0,0,10,1,0
44,1,2,1,1,1,12,1,0
26,1,2,1,4,3,10,4,0
36,1,1,1,0,0,6,4,0
39,1,1,1,0,3,6,5,0
42,0,2,2,3,2,12,5,0
34,1,2,1,0,1,7,5,1
63,1,2,1,0,0,60,0,1
36,1,2,1,3,1,18,0,0
27,1,2,1,0,0,24,4,1
30,1,2,1,1,1,18,1,1
57,1,1,2,4,3,12,0,0
33,0,3,1,0,2,12,4,0
25,1,1,1,0,1,45,5,1
31,1,2,0,0,3,48,3,1
37,1,2,1,0,2,18,5,0
37,1,2,1,0,2,10,2,0
24,1,2,1,0,1,9,5,0
30,1,3,1,2,3,30,5,1
26,1,2,1,2,1,12,5,0
44,1,1,1,0,1,18,6,1
24,1,2,2,1,0,30,1,1
58,0,1,0,0,0,48,1,1
35,0,3,1,0,3,11,1,0
39,1,2,1,2,3,36,5,0
23,0,0,2,2,0,6,1,0
39,1,1,1,0,3,11,1,1
28,0,2,1,1,3,12,5,0
29,1,1,1,4,1,24,4,1
30,1,3,1,0,1,27,1,1
25,1,2,1,0,3,12,5,0
31,1,2,1,4,3,18,1,1
57,1,2,0,0,1,36,1,0
26,1,1,1,4,3,6,1,0
52,1,3,1,4,1,12,5,1
31,0,2,1,0,3,36,5,1
23,0,3,1,0,2,18,1,0
23,0,1,2,0,0,36,4,1
27,1,2,1,0,1,9,0,0
50,1,2,1,4,1,15,5,0
61,1,3,0,0,1,36,0,0
25,1,2,1,0,1,48,0,1
26,0,2,1,0,3,24,5,1
48,1,2,1,4,3,27,6,1
29,0,2,1,0,3,12,5,0
22,1,2,1,3,1,12,1,0
37,1,2,0,0,3,36,3,0
25,0,2,1,4,3,36,5,1
30,0,2,1,0,3,36,1,1
46,1,1,2,4,3,7,5,0
51,1,3,0,0,0,8,7,0
41,0,1,1,0,1,42,0,1
40,1,3,1,4,0,36,3,0
66,1,3,0,0,0,12,1,0
34,1,2,1,0,0,42,5,1
51,1,2,1,0,1,11,5,1
39,1,1,1,4,3,54,1,1
22,1,2,1,0,1,30,4,1
44,0,2,1,4,3,24,5,1
47,1,2,1,2,3,15,5,0
24,0,1,2,1,3,18,0,0
58,0,1,1,0,0,24,7,0
52,1,1,1,0,0,10,5,0
29,0,3,1,0,3,12,0,0
27,0,2,1,0,1,18,4,0
47,1,2,0,1,1,36,3,1
30,1,3,1,1,0,18,1,0
